"","seqnames","start","end","width","strand","mcols.peakNames","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","gene_name","entrez_id"
"937","chr13",58325147,58325547,401,"*","chr13_58325147_58325547","X18476","ENSMUSG00000077428",58325267,58325408,142,"+",0,"includeFeature",0,"Gm24284",NA
"938","chr13",58610838,58611238,401,"*","chr13_58610838_58611238","X18491","ENSMUSG00000021553",58545399,58610877,65479,"-",0,"overlapStart",0,"Slc28a3","114304"
"939","chr13",58806138,58806538,401,"*","chr13_58806138_58806538","X18502","ENSMUSG00000055254",58806596,59133970,327375,"+",57,"upstream",57,"Ntrk2","18212"
"940","chr13",60177292,60177692,401,"*","chr13_60177292_60177692","X18555","ENSMUSG00000052957",60174405,60177365,2961,"-",0,"overlapStart",0,"Gas1","14451"
"941","chr13",60802607,60803007,401,"*","chr13_60802607_60803007","X18586","ENSMUSG00000056728",60798250,60802844,4595,"-",0,"overlapStart",0,"Ctsll3","70202"
"942","chr13",61336441,61336841,401,"*","chr13_61336441_61336841","X18602","ENSMUSG00000098860",61336455,61336561,107,"+",0,"includeFeature",0,"Gm27704",NA
"943","chr13",61804221,61804621,401,"*","chr13_61804221_61804621","X18619","ENSMUSG00000096212",61804141,61804248,108,"-",0,"overlapStart",0,"Gm23739",NA
"944","chr13",62129834,62130234,401,"*","chr13_62129834_62130234","X18637","ENSMUSG00000074867",62129916,62173419,43504,"+",0,"overlapStart",0,"Zfp808","630579"
"945","chr13",62382896,62383296,401,"*","chr13_62382896_62383296","X18646","ENSMUSG00000095876",62383237,62383344,108,"+",0,"overlapStart",0,"Gm25933",NA
"946","chr13",62382896,62383296,401,"*","chr13_62382896_62383296","X18646","ENSMUSG00000094942",62368328,62383166,14839,"-",0,"overlapStart",0,"Gm3604","100041979"
"947","chr13",62382896,62383296,401,"*","chr13_62382896_62383296","X18646","ENSMUSG00000089002",62384918,62385052,135,"+",1621,"upstream",1621,"Gm23855","115485921"
"948","chr13",62789394,62789794,401,"*","chr13_62789394_62789794","X18656","ENSMUSG00000095825",62791507,62791613,107,"+",1712,"upstream",1712,"Gm25448","115488245"
"949","chr13",64089193,64089593,401,"*","chr13_64089193_64089593","X18711","ENSMUSG00000033122",64058274,64089201,30928,"-",0,"overlapStart",0,"Hsd17b3","15487"
"950","chr13",64498671,64499071,401,"*","chr13_64498671_64499071","X18730","ENSMUSG00000096537",64481246,64497792,16547,"-",878,"upstream",878,"1190003K10Rik","68880"
"951","chr13",65052573,65052973,401,"*","chr13_65052573_65052973","X18753","ENSMUSG00000090658",65044788,65051811,7024,"-",761,"upstream",761,"Prss47","218304"
"952","chr13",66440860,66441260,401,"*","chr13_66440860_66441260","X18779","ENSMUSG00000074832",66418114,66441118,23005,"-",0,"overlapStart",0,"2410141K09Rik","76803"
"953","chr13",66519553,66519953,401,"*","chr13_66519553_66519953","X18783","ENSMUSG00000097483",66503160,66519523,16364,"-",29,"upstream",29,"Gm26806",NA
"954","chr13",66586765,66587165,401,"*","chr13_66586765_66587165","X18787","ENSMUSG00000098452",66586810,66586916,107,"-",0,"includeFeature",0,"Gm27501",NA
"955","chr13",67062951,67063351,401,"*","chr13_67062951_67063351","X18812","ENSMUSG00000090641",67038594,67061170,22577,"-",1780,"upstream",1780,"Zfp712","78251"
"956","chr13",67116004,67116404,401,"*","chr13_67116004_67116404","X18815","ENSMUSG00000074824",67096613,67116263,19651,"-",0,"overlapStart",0,"Rslcan18","432770"
"957","chr13",67775375,67775775,401,"*","chr13_67775375_67775775","X18836","ENSMUSG00000052909",67763798,67773629,9832,"-",1745,"upstream",1745,"Gm9894",NA
"958","chr13",67863249,67863649,401,"*","chr13_67863249_67863649","X18841","ENSMUSG00000064063",67863326,67863923,598,"+",0,"overlapStart",0,"BC048507","408058"
"959","chr13",70168423,70168823,401,"*","chr13_70168423_70168823","X18932","ENSMUSG00000077594",70168832,70168959,128,"+",8,"upstream",8,"Gm26018","115485904"
"960","chr13",70842338,70842738,401,"*","chr13_70842338_70842738","X18961","ENSMUSG00000049538",70727802,70841811,114010,"-",526,"upstream",526,"Adamts16","271127"
"961","chr13",71964361,71964761,401,"*","chr13_71964361_71964761","X19015","ENSMUSG00000060969",71957921,71963723,5803,"-",637,"upstream",637,"Irx1","16371"
"962","chr13",73315693,73316093,401,"*","chr13_73315693_73316093","X19114","ENSMUSG00000066407",73317844,73318143,300,"+",1750,"upstream",1750,"Gm10263","100042864"
"963","chr13",73937257,73937657,401,"*","chr13_73937257_73937657","X19156","ENSMUSG00000057649",73937838,73960894,23057,"+",180,"upstream",180,"Brd9","105246"
"964","chr13",74021159,74021559,401,"*","chr13_74021159_74021559","X19159","ENSMUSG00000080966",74018793,74020134,1342,"-",1024,"upstream",1024,"Gm6263",NA
"965","chr13",74807859,74808259,401,"*","chr13_74807859_74808259","X19186","ENSMUSG00000021585",74694286,74807921,113636,"-",0,"overlapStart",0,"Cast","12380"
"966","chr13",75929960,75930360,401,"*","chr13_75929960_75930360","X19220","ENSMUSG00000081816",75929465,75930328,864,"-",0,"overlapStart",0,"Gm15528",NA
"967","chr13",75954214,75954614,401,"*","chr13_75954214_75954614","X19221","ENSMUSG00000061833",75954352,75955016,665,"+",0,"overlapStart",0,"Gm6311","622313"
"968","chr13",80885457,80885857,401,"*","chr13_80885457_80885857","X19310","ENSMUSG00000089827",80884224,80885524,1301,"-",0,"overlapStart",0,"1700023H06Rik",NA
"969","chr13",81064659,81065059,401,"*","chr13_81064659_81065059","X19317","ENSMUSG00000043889",81064684,81065803,1120,"+",0,"overlapStart",0,"Gm8399",NA
"970","chr13",81064659,81065059,401,"*","chr13_81064659_81065059","X19317","ENSMUSG00000092650",81065477,81065560,84,"+",417,"upstream",417,"Gm25241",NA
"971","chr13",81633112,81633512,401,"*","chr13_81633112_81633512","X19341","ENSMUSG00000069170",81095068,81633154,538087,"-",0,"overlapStart",0,"Gpr98","110789"
"972","chr13",86725691,86726091,401,"*","chr13_86725691_86726091","X19423","ENSMUSG00000095933",86725823,86725932,110,"-",0,"includeFeature",0,"Gm25700",NA
"973","chr13",89540486,89540886,401,"*","chr13_89540486_89540886","X19470","ENSMUSG00000021613",89540636,89611832,71197,"+",0,"overlapStart",0,"Hapln1","12950"
"974","chr13",90907334,90907734,401,"*","chr13_90907334_90907734","X19489","ENSMUSG00000078958",90883433,90905355,21923,"-",1978,"upstream",1978,"Atp6ap1l","435376"
"975","chr13",91861124,91861524,401,"*","chr13_91861124_91861524","X19515","ENSMUSG00000082488",91861432,91862044,613,"+",0,"overlapStart",0,"1700119I11Rik",NA
"976","chr13",92131367,92131767,401,"*","chr13_92131367_92131767","X19522","ENSMUSG00000021708",91880400,92131656,251257,"-",0,"overlapStart",0,"Rasgrf2","19418"
"977","chr13",92305918,92306318,401,"*","chr13_92305918_92306318","X19531","ENSMUSG00000100622",92305980,92307183,1204,"+",0,"overlapStart",0,"RP24-447G12.2",NA
"978","chr13",92305918,92306318,401,"*","chr13_92305918_92306318","X19531","ENSMUSG00000095468",92306089,92306337,249,"+",0,"overlapStart",0,"Gm20379",NA
"979","chr13",93144432,93144832,401,"*","chr13_93144432_93144832","X19562","ENSMUSG00000047419",93040713,93144724,104012,"-",0,"overlapStart",0,"Cmya5","76469"
"980","chr13",93624502,93624902,401,"*","chr13_93624502_93624902","X19575","ENSMUSG00000085834",93625382,93628633,3252,"+",479,"upstream",479,"Gm15622",NA
"981","chr13",93728111,93728511,401,"*","chr13_93728111_93728511","X19584","ENSMUSG00000085202",93727363,93727702,340,"-",408,"upstream",408,"Gm15620",NA
"982","chr13",95445107,95445507,401,"*","chr13_95445107_95445507","X19682","ENSMUSG00000021680",95431371,95444831,13461,"-",275,"upstream",275,"Crhbp","12919"
"983","chr13",95478456,95478856,401,"*","chr13_95478456_95478856","X19685","ENSMUSG00000021679",95477301,95478655,1355,"-",0,"overlapStart",0,"S100z","268686"
"984","chr13",96132029,96132429,401,"*","chr13_96132029_96132429","X19720","ENSMUSG00000100475",96133369,96134335,967,"+",939,"upstream",939,"Gm29543",NA
"985","chr13",96470870,96471270,401,"*","chr13_96470870_96471270","X19733","ENSMUSG00000047117",96416134,96471198,55065,"-",0,"overlapStart",0,"Ankdd1b","271144"
"986","chr13",97099121,97099521,401,"*","chr13_97099121_97099521","X19755","ENSMUSG00000057762",97098237,97099296,1060,"-",0,"overlapStart",0,"Gm6169","620648"
"987","chr13",97291715,97292115,401,"*","chr13_97291715_97292115","X19763","ENSMUSG00000094674",97292019,97292108,90,"+",0,"includeFeature",0,"Gm22007",NA
"988","chr13",98404331,98404731,401,"*","chr13_98404331_98404731","X19815","ENSMUSG00000098113",98402095,98403083,989,"-",1247,"upstream",1247,"Gm2445","100039827"
"989","chr13",98517560,98517960,401,"*","chr13_98517560_98517960","X19821","ENSMUSG00000104430",98517364,98517938,575,"-",0,"overlapStart",0,"RP23-369M17.2",NA
"990","chr13",99414311,99414711,401,"*","chr13_99414311_99414711","X19868","ENSMUSG00000097828",99396924,99412864,15941,"-",1446,"upstream",1446,"6430562O15Rik",NA
"991","chr13",100415378,100415778,401,"*","chr13_100415378_100415778","X19920","ENSMUSG00000051723",100415565,100415942,378,"+",0,"overlapStart",0,"Rpl31-ps13",NA
"992","chr13",100617586,100617986,401,"*","chr13_100617586_100617986","X19937","ENSMUSG00000021636",100595957,100616971,21015,"-",614,"upstream",614,"Marveld2","218518"
"993","chr13",102757921,102758321,401,"*","chr13_102757921_102758321","X19995","ENSMUSG00000091906",102760255,102761896,1642,"+",1933,"upstream",1933,"1700099I09Rik","76624"
"994","chr13",103640735,103641135,401,"*","chr13_103640735_103641135","X20032","ENSMUSG00000096642",103641926,103642032,107,"+",790,"upstream",790,"Gm24870","115488243"
"995","chr13",105081880,105082280,401,"*","chr13_105081880_105082280","X20090","ENSMUSG00000021718",105082122,105121782,39661,"+",0,"overlapStart",0,"4933425L06Rik","66763"
"996","chr13",105272660,105273060,401,"*","chr13_105272660_105273060","X20096","ENSMUSG00000021720",105149352,105271039,121688,"-",1620,"upstream",1620,"Rnf180","71816"
"997","chr13",106787687,106788087,401,"*","chr13_106787687_106788087","X20128","ENSMUSG00000101308",106788070,106796796,8727,"+",0,"overlapStart",0,"Gm28989",NA
"998","chr13",106947078,106947478,401,"*","chr13_106947078_106947478","X20135","ENSMUSG00000021692",106947129,106960224,13096,"+",0,"overlapStart",0,"Dimt1","66254"
"999","chr13",107030247,107030647,401,"*","chr13_107030247_107030647","X20136","ENSMUSG00000071181",107031963,107033673,1711,"+",1315,"upstream",1315,"3830408C21Rik","100040322"
"1000","chr13",107415770,107416170,401,"*","chr13_107415770_107416170","X20149","ENSMUSG00000049233",107413865,107414767,903,"-",1002,"upstream",1002,"Apoo-ps","621156"
"1001","chr13",111569913,111570313,401,"*","chr13_111569913_111570313","X20243","ENSMUSG00000086870",111561372,111568553,7182,"-",1359,"upstream",1359,"Gm15288",NA
"1002","chr13",112288217,112288617,401,"*","chr13_112288217_112288617","X20292","ENSMUSG00000049985",112288451,112384002,95552,"+",0,"overlapStart",0,"Ankrd55","77318"
"1003","chr13",112925507,112925907,401,"*","chr13_112925507_112925907","X20322","ENSMUSG00000042426",112927730,112969431,41702,"+",1822,"upstream",1822,"Dhx29","218629"
"1004","chr13",113107327,113107727,401,"*","chr13_113107327_113107727","X20334","ENSMUSG00000051002",113108073,113108331,259,"+",345,"upstream",345,"Gm9848",NA
"1005","chr13",113315862,113316262,401,"*","chr13_113315862_113316262","X20345","ENSMUSG00000021763",113317084,113379711,62628,"+",821,"upstream",821,"BC067074","408066"
"1006","chr13",113663324,113663724,401,"*","chr13_113663324_113663724","X20361","ENSMUSG00000051456",113662896,113663676,781,"-",0,"overlapStart",0,"Hspb3","56534"
"1007","chr13",114606443,114606843,401,"*","chr13_114606443_114606843","X20393","ENSMUSG00000051758",114607237,114697822,90586,"+",393,"upstream",393,"4930544M13Rik","75161"
"1008","chr13",117026961,117027361,401,"*","chr13_117026961_117027361","X20442","ENSMUSG00000021725",116854824,117025516,170693,"-",1444,"upstream",1444,"Parp8","52552"
"1009","chr13",117218755,117219155,401,"*","chr13_117218755_117219155","X20447","ENSMUSG00000021728",117220625,117274098,53474,"+",1469,"upstream",1469,"Emb","13723"
"1010","chr13",117358365,117358765,401,"*","chr13_117358365_117358765","X20455","ENSMUSG00000094518",117358212,117358622,411,"-",0,"overlapStart",0,"Gm6421",NA
"1011","chr13",119623610,119624010,401,"*","chr13_119623610_119624010","X20496","ENSMUSG00000074715",119623819,119654354,30536,"+",0,"overlapStart",0,"Ccl28","56838"
"1012","chr13",120304368,120304768,401,"*","chr13_120304368_120304768","X20517","ENSMUSG00000078180",120304194,120304655,462,"-",0,"overlapStart",0,"Gm20900","105243593"
"1013","chr14",5880680,5881080,401,"*","chr14_5880680_5881080","X20521","ENSMUSG00000090707",5857918,5880382,22465,"-",297,"upstream",297,"Gm8237",NA
"1014","chr14",7801061,7801461,401,"*","chr14_7801061_7801461","X20526","ENSMUSG00000049460",7801208,7802030,823,"+",0,"overlapStart",0,"Gm8396","666976"
"1015","chr14",8088128,8088528,401,"*","chr14_8088128_8088528","X20537","ENSMUSG00000094130",8090078,8090554,477,"+",1549,"upstream",1549,"Rpp14",NA
"1016","chr14",8800181,8800581,401,"*","chr14_8800181_8800581","X20568","ENSMUSG00000045799",8799589,8800504,916,"-",0,"overlapStart",0,"Gm9800",NA
"1017","chr14",9885807,9886207,401,"*","chr14_9885807_9886207","X20593","ENSMUSG00000089686",9886026,9886629,604,"+",0,"overlapStart",0,"Mnd1-ps","100042415"
"1018","chr14",13284451,13284851,401,"*","chr14_13284451_13284851","X20682","ENSMUSG00000056296",13284780,13615459,330680,"+",0,"overlapStart",0,"Synpr","72003"
"1019","chr14",13284451,13284851,401,"*","chr14_13284451_13284851","X20682","ENSMUSG00000051729",13157388,13284638,127251,"-",0,"overlapStart",0,"Gm5087","328354"
"1020","chr14",13353802,13354202,401,"*","chr14_13353802_13354202","X20685","ENSMUSG00000081115",13353876,13354007,132,"-",0,"includeFeature",0,"Gm15913",NA
"1021","chr14",13777854,13778254,401,"*","chr14_13777854_13778254","X20692","ENSMUSG00000098694",13778072,13778151,80,"-",0,"includeFeature",0,"Gm27506",NA
"1022","chr14",18531186,18531586,401,"*","chr14_18531186_18531586","X20852","ENSMUSG00000035129",18531363,18532460,1098,"+",0,"overlapStart",0,"Gm6781",NA
"1023","chr14",19127237,19127637,401,"*","chr14_19127237_19127637","X20867","ENSMUSG00000091929",19127800,19132109,4310,"+",162,"upstream",162,"Gm8582","667341"
"1024","chr14",19750470,19750870,401,"*","chr14_19750470_19750870","X20892","ENSMUSG00000021806",19751257,19811787,60531,"+",386,"upstream",386,"Nid2","18074"
"1025","chr14",20201134,20201534,401,"*","chr14_20201134_20201534","X20910","ENSMUSG00000087916",20199996,20200112,117,"-",1021,"upstream",1021,"Gm24912","115485929"
"1026","chr14",20453079,20453479,401,"*","chr14_20453079_20453479","X20926","ENSMUSG00000039543",20394190,20452226,58037,"-",852,"upstream",852,"Cfap70","76670"
"1027","chr14",20795603,20796003,401,"*","chr14_20795603_20796003","X20935","ENSMUSG00000021820",20734875,20794088,59214,"-",1514,"upstream",1514,"Camk2g","12325"
"1028","chr14",21479856,21480256,401,"*","chr14_21479856_21480256","X20951","ENSMUSG00000021767",21481434,21672478,191045,"+",1177,"upstream",1177,"Kat6b","54169"
"1029","chr14",21811375,21811775,401,"*","chr14_21811375_21811775","X20962","ENSMUSG00000065836",21812711,21812855,145,"+",935,"upstream",935,"Gm23502","115488440"
"1030","chr14",21849990,21850390,401,"*","chr14_21849990_21850390","X20966","ENSMUSG00000021773",21845861,21848977,3117,"-",1012,"upstream",1012,"Comtd1","69156"
"1031","chr14",24488055,24488455,401,"*","chr14_24488055_24488455","X21056","ENSMUSG00000025280",24448694,24487046,38353,"-",1008,"upstream",1008,"Polr3a","218832"
"1032","chr14",26638637,26639037,401,"*","chr14_26638637_26639037","X21125","ENSMUSG00000090861",26628407,26638183,9777,"-",453,"upstream",453,"4930570N19Rik",NA
"1033","chr14",26668661,26669061,401,"*","chr14_26668661_26669061","X21126","ENSMUSG00000096052",26670010,26670507,498,"+",948,"upstream",948,"9930004E17Rik",NA
"1034","chr14",26892939,26893339,401,"*","chr14_26892939_26893339","X21137","ENSMUSG00000021898",26894557,26915258,20702,"+",1217,"upstream",1217,"Asb14","142687"
"1035","chr14",27237931,27238331,401,"*","chr14_27237931_27238331","X21149","ENSMUSG00000021895",27238039,27403904,165866,"+",0,"overlapStart",0,"Arhgef3","71704"
"1036","chr14",31591199,31591599,401,"*","chr14_31591199_31591599","X21270","ENSMUSG00000057606",31523082,31591343,68262,"-",0,"overlapStart",0,"Colq","382864"
"1037","chr14",31640409,31640809,401,"*","chr14_31640409_31640809","X21274","ENSMUSG00000021900",31641028,31668579,27552,"+",218,"upstream",218,"Btd","26363"
"1038","chr14",33589179,33589579,401,"*","chr14_33589179_33589579","X21362","ENSMUSG00000021940",33589270,33640754,51485,"+",0,"overlapStart",0,"Ptpn20","19256"
"1039","chr14",33978819,33979219,401,"*","chr14_33978819_33979219","X21387","ENSMUSG00000044519",33967070,33978764,11695,"-",54,"upstream",54,"Zfp488","382867"
"1040","chr14",34052590,34052990,401,"*","chr14_34052590_34052990","X21395","ENSMUSG00000047441",34053470,34075999,22530,"+",479,"upstream",479,"Antxrl","239029"
"1041","chr14",34053470,34053870,401,"*","chr14_34053470_34053870","X21396","ENSMUSG00000047441",34053470,34075999,22530,"+",0,"inside",0,"Antxrl","239029"
"1042","chr14",34523257,34523657,401,"*","chr14_34523257_34523657","X21421","ENSMUSG00000021797",34511619,34522801,11183,"-",455,"upstream",455,"9230112D13Rik","78243"
"1043","chr14",34894578,34894978,401,"*","chr14_34894578_34894978","X21429","ENSMUSG00000065481",34894609,34894706,98,"+",0,"includeFeature",0,"Mir346","723847"
"1044","chr14",35569428,35569828,401,"*","chr14_35569428_35569828","X21450","ENSMUSG00000098696",35569953,35570120,168,"+",124,"upstream",124,"Gm27617",NA
"1045","chr14",37054700,37055100,401,"*","chr14_37054700_37055100","X21486","ENSMUSG00000041044",37054830,37064946,10117,"+",0,"overlapStart",0,"Lrit1","239037"
"1046","chr14",40008224,40008624,401,"*","chr14_40008224_40008624","X21531","ENSMUSG00000089021",40009902,40010065,164,"+",1277,"upstream",1277,"Gm25012",NA
"1047","chr14",41130501,41130901,401,"*","chr14_41130501_41130901","X21562","ENSMUSG00000021789",41131782,41136452,4671,"+",880,"upstream",880,"Sftpa1","20387"
"1048","chr14",43124039,43124439,401,"*","chr14_43124039_43124439","X21571","ENSMUSG00000090389",43121772,43122101,330,"-",1937,"upstream",1937,"Gm7236",NA
"1049","chr14",43713332,43713732,401,"*","chr14_43713332_43713732","X21575","ENSMUSG00000091216",43713383,43715573,2191,"+",0,"overlapStart",0,"Gm17208",NA
"1050","chr14",43713332,43713732,401,"*","chr14_43713332_43713732","X21575","ENSMUSG00000049235",43713902,43715068,1167,"+",169,"upstream",169,"Gm7324","652988"
"1051","chr14",43875292,43875692,401,"*","chr14_43875292_43875692","X21581","ENSMUSG00000072600",43874875,43875334,460,"-",0,"overlapStart",0,"Ear-ps9",NA
"1052","chr14",43875292,43875692,401,"*","chr14_43875292_43875692","X21581","ENSMUSG00000072601",43818765,43875517,56753,"-",0,"overlapStart",0,"Ear1","13586"
"1053","chr14",43970857,43971257,401,"*","chr14_43970857_43971257","X21584","ENSMUSG00000089754",43969077,43969518,442,"-",1338,"upstream",1338,"Ear-ps7","497105"
"1054","chr14",44046658,44047058,401,"*","chr14_44046658_44047058","X21588","ENSMUSG00000072599",44046985,44047450,466,"+",0,"overlapStart",0,"Ear-ps2",NA
"1055","chr14",45858582,45858982,401,"*","chr14_45858582_45858982","X21654","ENSMUSG00000084276",45858076,45858546,471,"-",35,"upstream",35,"Gm8317","666834"
"1056","chr14",48079403,48079803,401,"*","chr14_48079403_48079803","X21765","ENSMUSG00000062081",48079375,48079752,378,"-",0,"overlapStart",0,"Gm6055",NA
"1057","chr14",48651797,48652197,401,"*","chr14_48651797_48652197","X21806","ENSMUSG00000087756",48652499,48652602,104,"+",301,"upstream",301,"Gm23469",NA
"1058","chr14",51057332,51057732,401,"*","chr14_51057332_51057732","X21890","ENSMUSG00000068407",51056698,51057242,545,"-",89,"upstream",89,"Rnase12","497106"
"1059","chr14",51113794,51114194,401,"*","chr14_51113794_51114194","X21894","ENSMUSG00000072575",51114565,51117791,3227,"+",370,"upstream",370,"Eddm3b","219026"
"1060","chr14",52580666,52581066,401,"*","chr14_52580666_52581066","X21964","ENSMUSG00000076760",52580707,52581213,507,"+",0,"overlapStart",0,"Trav3-1",NA
"1061","chr14",52708810,52709210,401,"*","chr14_52708810_52709210","X21974","ENSMUSG00000082819",52710913,52711425,513,"+",1702,"upstream",1702,"Trav4d-2","546612"
"1062","chr14",53072655,53073055,401,"*","chr14_53072655_53073055","X21981","ENSMUSG00000096329",53073004,53073267,264,"+",0,"overlapStart",0,"Trav13d-4","639655"
"1063","chr14",53362150,53362550,401,"*","chr14_53362150_53362550","X21987","ENSMUSG00000076823",53363836,53364102,267,"+",1285,"upstream",1285,"Trav13n-4","100126460"
"1064","chr14",53363807,53364207,401,"*","chr14_53363807_53364207","X21988","ENSMUSG00000076823",53363836,53364102,267,"+",0,"includeFeature",0,"Trav13n-4","100126460"
"1065","chr14",53416012,53416412,401,"*","chr14_53416012_53416412","X21992","ENSMUSG00000076826",53418349,53418872,524,"+",1936,"upstream",1936,"Trav4-2","100126462"
"1066","chr14",53427766,53428166,401,"*","chr14_53427766_53428166","X21994","ENSMUSG00000094220",53428711,53430377,1667,"+",544,"upstream",544,"Trav6-3","328483"
"1067","chr14",53441274,53441674,401,"*","chr14_53441274_53441674","X21997","ENSMUSG00000096908",53443249,53443838,590,"+",1574,"upstream",1574,"Trav7-3","547420"
"1068","chr14",53543307,53543707,401,"*","chr14_53543307_53543707","X22007","ENSMUSG00000076839",53545014,53545521,508,"+",1306,"upstream",1306,"Trav13-1","100126469"
"1069","chr14",53544878,53545278,401,"*","chr14_53544878_53545278","X22008","ENSMUSG00000076839",53545014,53545521,508,"+",0,"overlapStart",0,"Trav13-1","100126469"
"1070","chr14",53633000,53633400,401,"*","chr14_53633000_53633400","X22012","ENSMUSG00000076846",53634829,53635398,570,"+",1428,"upstream",1428,"Trav13-2","638566"
"1071","chr14",53714689,53715089,401,"*","chr14_53714689_53715089","X22023","ENSMUSG00000096138",53716716,53717290,575,"+",1626,"upstream",1626,"Trav7-6","213480"
"1072","chr14",53757217,53757617,401,"*","chr14_53757217_53757617","X22025","ENSMUSG00000094562",53757356,53757920,565,"+",0,"overlapStart",0,"Trav13-4-dv7","100113412"
"1073","chr14",53795265,53795665,401,"*","chr14_53795265_53795665","X22028","ENSMUSG00000087666",53795360,53797832,2473,"+",0,"overlapStart",0,"B230359F08Rik","219060"
"1074","chr14",53875883,53876283,401,"*","chr14_53875883_53876283","X22033","ENSMUSG00000076863",53875984,53876751,768,"+",0,"overlapStart",0,"Trav21-dv12","100101940"
"1075","chr14",54121795,54122195,401,"*","chr14_54121795_54122195","X22045","ENSMUSG00000096176",54122226,54122241,16,"+",30,"upstream",30,"Trdd2","100114904"
"1076","chr14",54169298,54169698,401,"*","chr14_54169298_54169698","X22047","ENSMUSG00000076883",54169809,54169868,60,"+",110,"upstream",110,"Traj48","100124340"
"1077","chr14",54173372,54173772,401,"*","chr14_54173372_54173772","X22048","ENSMUSG00000076886",54173690,54173750,61,"+",0,"includeFeature",0,"Traj44","100124344"
"1078","chr14",54173372,54173772,401,"*","chr14_54173372_54173772","X22048","ENSMUSG00000076887",54174742,54174798,57,"+",969,"upstream",969,"Traj43","100124345"
"1079","chr14",54180085,54180485,401,"*","chr14_54180085_54180485","X22049","ENSMUSG00000076892",54180574,54180635,62,"+",88,"upstream",88,"Traj38","100124351"
"1080","chr14",54211082,54211482,401,"*","chr14_54211082_54211482","X22050","ENSMUSG00000076921",54211470,54211528,59,"+",0,"overlapStart",0,"Traj7","100124396"
"1081","chr14",54211082,54211482,401,"*","chr14_54211082_54211482","X22050","ENSMUSG00000076922",54212688,54212749,62,"+",1205,"upstream",1205,"Traj6","100124397"
"1082","chr14",54219349,54219749,401,"*","chr14_54219349_54219749","X22051","ENSMUSG00000076928",54220521,54223097,2577,"+",771,"upstream",771,"Trac",NA
"1083","chr14",54283932,54284332,401,"*","chr14_54283932_54284332","X22052","ENSMUSG00000048153",54281896,54282925,1030,"-",1006,"upstream",1006,"Olfr49","18348"
"1084","chr14",54410175,54410575,401,"*","chr14_54410175_54410575","X22059","ENSMUSG00000000958",54369444,54409472,40029,"-",702,"upstream",702,"Slc7a7","20540"
"1085","chr14",55222005,55222405,401,"*","chr14_55222005_55222405","X22081","ENSMUSG00000022209",55222007,55241435,19429,"+",0,"overlapStart",0,"Dhrs2","71412"
"1086","chr14",55420451,55420851,401,"*","chr14_55420451_55420851","X22092","ENSMUSG00000060680",55420269,55420724,456,"-",0,"overlapStart",0,"Gm8894","667952"
"1087","chr14",55575395,55575795,401,"*","chr14_55575395_55575795","X22099","ENSMUSG00000022215",55575617,55576952,1336,"+",0,"overlapStart",0,"Fitm1","68680"
"1088","chr14",55746168,55746568,401,"*","chr14_55746168_55746568","X22107","ENSMUSG00000002332",55739020,55745690,6671,"-",477,"upstream",477,"Dhrs1","52585"
"1089","chr14",56159344,56159744,401,"*","chr14_56159344_56159744","X22131","ENSMUSG00000040284",56156582,56159579,2998,"-",0,"overlapStart",0,"Gzmg","14944"
"1090","chr14",56261933,56262333,401,"*","chr14_56261933_56262333","X22142","ENSMUSG00000015437",56258856,56262260,3405,"-",0,"overlapStart",0,"Gzmb","14939"
"1091","chr14",56402504,56402904,401,"*","chr14_56402504_56402904","X22147","ENSMUSG00000000365",56402697,56525032,122336,"+",0,"overlapStart",0,"Rnf17","30054"
"1092","chr14",56787412,56787812,401,"*","chr14_56787412_56787812","X22155","ENSMUSG00000094250",56787517,56787687,171,"-",0,"includeFeature",0,"Gm4479",NA
"1093","chr14",57117706,57118106,401,"*","chr14_57117706_57118106","X22177","ENSMUSG00000089840",57112506,57115883,3378,"-",1822,"upstream",1822,"Gm4491",NA
"1094","chr14",59298493,59298893,401,"*","chr14_59298493_59298893","X22270","ENSMUSG00000044703",59276913,59297522,20610,"-",970,"upstream",970,"Phf11a","219131"
"1095","chr14",59342145,59342545,401,"*","chr14_59342145_59342545","X22274","ENSMUSG00000091649",59320964,59341351,20388,"-",793,"upstream",793,"Phf11b","236451"
"1096","chr14",59397220,59397620,401,"*","chr14_59397220_59397620","X22280","ENSMUSG00000091144",59380833,59395381,14549,"-",1838,"upstream",1838,"Phf11c","628705"
"1097","chr14",59414229,59414629,401,"*","chr14_59414229_59414629","X22281","ENSMUSG00000089643",59414270,59414564,295,"-",0,"includeFeature",0,"Gm16301",NA
"1098","chr14",60152267,60152667,401,"*","chr14_60152267_60152667","X22315","ENSMUSG00000072068",60154151,60154355,205,"+",1483,"upstream",1483,"Gm16261","115488348"
"1099","chr14",60483049,60483449,401,"*","chr14_60483049_60483449","X22331","ENSMUSG00000101797",60485208,60599031,113824,"+",1758,"upstream",1758,"Gm29266",NA
"1100","chr14",60485189,60485589,401,"*","chr14_60485189_60485589","X22332","ENSMUSG00000101797",60485208,60599031,113824,"+",0,"overlapStart",0,"Gm29266",NA
"1101","chr14",61258439,61258839,401,"*","chr14_61258439_61258839","X22374","ENSMUSG00000035296",61221059,61258490,37432,"-",0,"overlapStart",0,"Sgcg","24053"
