JLDY037E	JLDY037F	JLDY037G	JLDY037I	JLDY037J	JLDY037K
chr14_31957380_31957780	23	25	12	26	22	19
chr14_31958993_31959393	9	24	11	25	28	16
chr14_31963929_31964329	17	18	13	20	20	21
chr14_31969815_31970215	23	35	18	27	19	22
chr14_31980358_31980758	12	21	18	19	12	15
chr14_31986538_31986938	9	23	16	28	16	9
chr14_32018914_32019314	21	28	17	34	18	25
chr14_32040138_32040538	22	34	27	32	28	17
chr14_32058692_32059092	16	24	9	23	12	11
chr14_32075163_32075563	14	26	21	13	22	16
chr14_32105076_32105476	20	24	18	21	22	22
chr14_32111108_32111508	9	20	8	33	6	17
chr14_32123361_32123761	19	19	10	25	11	22
chr14_32142178_32142578	18	25	13	32	13	19
chr14_32309365_32309765	26	22	20	20	19	19
chr14_32353370_32353770	12	22	18	21	11	13
chr14_32356872_32357272	16	19	12	20	19	16
chr14_32361730_32362130	7	18	12	13	21	19
chr14_32369831_32370231	11	28	9	14	20	15
chr14_32418754_32419154	13	26	12	19	19	22
chr14_32439386_32439786	14	22	15	33	10	15
chr14_32440899_32441299	11	37	17	23	13	12
chr14_32446712_32447112	15	24	18	20	19	18
chr14_32453174_32453574	23	24	19	37	17	25
chr14_32477554_32477954	15	27	22	14	9	16
chr14_32484052_32484452	14	29	21	30	28	17
chr14_32496001_32496401	15	20	6	22	17	10
chr14_32516940_32517340	9	19	5	15	22	6
chr14_32526128_32526528	15	27	12	20	4	13
chr14_32576778_32577178	15	28	11	29	11	13
chr14_32624834_32625234	20	23	14	23	17	19
chr14_32641823_32642223	16	22	29	28	25	12
chr14_32660873_32661273	16	36	21	33	20	34
chr14_32662821_32663221	13	23	13	23	28	32
chr14_32678080_32678480	17	35	16	39	22	30
chr14_32695171_32695571	8	12	9	21	12	20
chr14_32709079_32709479	17	25	14	32	17	26
chr14_32714951_32715351	10	23	7	22	8	13
chr14_32747049_32747449	21	26	12	25	19	12
chr14_32752113_32752513	17	25	16	19	15	8
chr14_32766931_32767331	17	17	9	20	9	16
chr14_32775442_32775842	16	21	17	19	19	14
chr14_32786805_32787205	18	30	17	32	8	24
chr14_32796980_32797380	23	33	24	29	15	16
chr14_32816905_32817305	9	19	15	23	14	19
chr14_32818226_32818626	16	27	17	18	13	18
chr14_32825540_32825940	19	29	15	24	10	14
chr14_32835559_32835959	19	29	13	40	20	28
chr14_32900907_32901307	21	24	15	26	11	12
chr14_32925333_32925733	20	22	13	24	8	20
chr14_32943513_32943913	10	20	7	23	15	8
chr14_32950479_32950879	18	22	10	20	8	13
chr14_32995372_32995772	19	19	15	17	17	8
chr14_32999542_32999942	18	27	19	26	15	21
chr14_33008765_33009165	13	24	14	20	12	18
chr14_33010244_33010644	20	22	15	21	17	22
chr14_33019171_33019571	25	25	13	28	15	21
chr14_33024595_33024995	15	23	19	37	10	16
chr14_33042429_33042829	19	28	16	17	12	22
chr14_33068613_33069013	23	16	9	13	9	16
chr14_33109289_33109689	21	26	14	34	29	18
chr14_33133324_33133724	10	26	14	23	17	21
chr14_33137564_33137964	24	20	12	20	16	15
chr14_33151928_33152328	26	28	25	36	15	23
chr14_33165847_33166247	17	24	15	28	14	15
chr14_33185086_33185486	18	22	9	24	8	19
chr14_33189703_33190103	16	33	8	27	20	19
chr14_33218114_33218514	28	33	12	33	22	18
chr14_33220256_33220656	20	29	18	23	19	14
chr14_33226155_33226555	8	17	12	17	9	13
chr14_33231524_33231924	18	18	10	30	20	13
chr14_33240721_33241121	10	28	6	21	8	11
chr14_33266142_33266542	9	20	14	24	9	13
chr14_33271674_33272074	18	21	11	22	22	15
chr14_33471442_33471842	18	27	9	24	10	18
chr14_33486764_33487164	26	28	20	29	21	15
chr14_33494676_33495076	11	24	21	32	10	16
chr14_33511289_33511689	15	17	16	10	10	8
chr14_33589179_33589579	20	24	17	24	23	11
chr14_33623786_33624186	16	19	11	21	15	14
chr14_33636732_33637132	13	23	11	13	13	12
chr14_33647398_33647798	16	22	8	10	14	14
chr14_33656479_33656879	17	28	16	33	12	17
chr14_33662188_33662588	22	27	12	32	16	22
chr14_33675498_33675898	18	30	23	34	19	22
chr14_33683705_33684105	20	21	11	36	26	9
chr14_33707668_33708068	16	22	14	21	15	16
chr14_33727284_33727684	11	21	6	20	4	17
chr14_33739669_33740069	22	29	9	20	23	11
chr14_33741183_33741583	13	22	7	21	12	11
chr14_33746525_33746925	11	19	14	4	12	15
chr14_33752606_33753006	16	18	17	17	11	12
chr14_33758181_33758581	15	22	14	36	12	15
chr14_33785693_33786093	5	15	16	16	9	22
chr14_33808550_33808950	27	31	19	35	24	11
chr14_33826468_33826868	20	25	10	20	8	11
chr14_33836211_33836611	15	34	8	19	23	14
chr14_33863234_33863634	17	23	14	23	12	18
chr14_33883176_33883576	23	24	17	29	12	13
chr14_33908322_33908722	26	31	13	32	8	16
chr14_33935941_33936341	23	33	18	41	23	18
chr14_33955675_33956075	20	22	19	40	18	22
chr14_33962291_33962691	15	32	14	39	16	30
chr14_33978819_33979219	12	17	9	45	18	20
chr14_34001151_34001551	18	30	14	32	15	7
chr14_34018538_34018938	20	19	10	33	17	21
chr14_34022400_34022800	11	20	11	28	9	9
chr14_34033912_34034312	16	26	8	21	7	10
chr14_34035208_34035608	10	30	9	27	8	14
chr14_34043648_34044048	17	29	19	27	18	27
chr14_34050442_34050842	11	29	20	17	12	21
chr14_34052590_34052990	14	27	18	26	17	13
chr14_34053470_34053870	15	30	9	27	14	11
chr14_34063238_34063638	19	33	13	29	24	19
chr14_34079081_34079481	28	40	9	23	14	25
chr14_34106522_34106922	20	23	25	25	24	24
chr14_34119282_34119682	18	15	8	28	21	21
chr14_34150385_34150785	14	20	12	36	21	13
chr14_34159665_34160065	22	24	22	24	13	25
chr14_34178003_34178403	13	29	17	28	16	14
chr14_34183831_34184231	19	24	26	26	17	21
chr14_34195426_34195826	22	43	16	34	41	34
chr14_34210947_34211347	27	27	10	24	10	17
chr14_34237690_34238090	18	28	20	25	12	18
chr14_34240200_34240600	17	28	14	20	11	10
chr14_34248118_34248518	9	12	4	18	14	6
chr14_34253201_34253601	20	11	16	14	14	16
chr14_34276836_34277236	16	15	11	18	15	20
chr14_34281325_34281725	16	20	11	15	11	11
chr14_34348954_34349354	19	20	13	27	21	26
chr14_34354951_34355351	14	30	14	33	15	29
chr14_34378450_34378850	32	39	15	33	20	25
chr14_34388996_34389396	25	21	12	14	14	8
chr14_34398665_34399065	16	33	12	44	29	27
chr14_34460010_34460410	18	21	8	20	8	16
chr14_34514119_34514519	16	19	12	20	12	12
chr14_34516406_34516806	8	25	11	25	6	8
chr14_34523257_34523657	12	30	13	23	13	19
chr14_34553666_34554066	27	25	12	46	15	20
chr14_34607597_34607997	20	33	26	38	14	20
chr14_34635048_34635448	16	21	20	30	18	19
chr14_34646170_34646570	19	27	15	25	21	15
chr14_34661010_34661410	24	34	12	29	7	18
chr14_34765253_34765653	24	16	9	15	19	17
chr14_34793662_34794062	13	27	10	21	15	20
chr14_34894578_34894978	18	36	11	29	8	19
chr14_34921471_34921871	16	30	13	32	27	22
chr14_34938596_34938996	19	44	17	33	14	22
chr14_34975506_34975906	16	25	12	11	17	7
chr14_34977002_34977402	17	17	11	18	7	13
chr14_34986205_34986605	19	33	14	26	12	18
chr14_35024041_35024441	11	31	13	22	16	19
chr14_35027849_35028249	18	20	12	25	11	16
chr14_35043895_35044295	12	16	15	24	14	19
chr14_35089504_35089904	10	22	5	19	9	12
chr14_35095572_35095972	13	20	14	28	20	15
chr14_35099266_35099666	18	17	5	28	9	9
chr14_35115928_35116328	13	19	5	27	10	9
chr14_35118824_35119224	14	17	19	23	9	13
chr14_35138137_35138537	14	19	6	15	21	13
chr14_35159308_35159708	24	13	14	16	9	7
chr14_35166957_35167357	24	22	7	20	7	17
chr14_35206744_35207144	18	21	14	21	9	11
chr14_35292273_35292673	17	30	10	13	9	12
chr14_35313560_35313960	12	19	15	27	15	11
chr14_35329369_35329769	20	26	6	18	23	18
chr14_35569428_35569828	11	19	8	25	9	11
chr14_35580459_35580859	11	15	14	20	10	9
chr14_35595783_35596183	10	24	15	21	12	18
chr14_35680745_35681145	9	19	9	14	17	14
chr14_35730232_35730632	15	8	16	19	5	11
chr14_35737616_35738016	16	19	10	29	9	13
chr14_35821508_35821908	15	32	7	37	17	18
chr14_35952106_35952506	20	27	15	19	23	20
chr14_35965922_35966322	7	22	13	14	9	7
chr14_35969943_35970343	15	32	14	27	15	15
chr14_35986906_35987306	13	19	7	26	13	19
chr14_35995952_35996352	20	24	8	30	15	12
chr14_36017251_36017651	19	22	20	29	17	14
chr14_36018924_36019324	12	23	12	27	18	6
chr14_36038332_36038732	20	20	20	17	12	11
chr14_36050906_36051306	13	25	22	41	23	26
chr14_36069730_36070130	18	14	11	22	9	13
chr14_36076278_36076678	4	21	12	17	8	5
chr14_36085590_36085990	17	20	7	26	18	13
chr14_36307264_36307664	14	14	14	20	22	18
chr14_36400471_36400871	19	17	10	23	13	20
chr14_36612636_36613036	21	25	14	22	13	18
chr14_36726108_36726508	11	22	5	20	8	11
chr14_36744428_36744828	17	13	14	22	15	17
chr14_36783762_36784162	14	22	9	16	6	7
chr14_36801715_36802115	19	29	12	35	22	21
chr14_36829548_36829948	10	23	6	21	13	16
chr14_36860161_36860561	19	25	17	42	22	24
chr14_36881056_36881456	18	26	14	21	10	10
chr14_36890076_36890476	16	10	9	20	13	15
chr14_36902302_36902702	11	25	15	13	5	7
chr14_37009439_37009839	17	21	11	34	22	12
chr14_37019901_37020301	9	21	9	19	10	14
chr14_37035384_37035784	20	15	12	20	7	15
chr14_37041089_37041489	18	16	11	18	21	20
chr14_37046899_37047299	13	23	21	23	11	13
chr14_37054700_37055100	12	26	17	22	20	22
chr14_37061957_37062357	19	21	15	27	14	19
chr14_37079447_37079847	17	30	3	14	16	13
chr14_37094740_37095140	8	34	13	28	20	22
chr14_37106000_37106400	18	22	25	26	9	18
chr14_37141877_37142277	31	32	15	27	20	25
chr14_37177988_37178388	6	20	13	28	17	20
chr14_37336178_37336578	16	24	18	29	16	28
chr14_37349851_37350251	10	18	8	8	3	6
chr14_37387863_37388263	12	30	7	24	12	12
chr14_37393708_37394108	25	19	12	11	23	10
chr14_37403117_37403517	14	23	12	23	12	13
chr14_37436771_37437171	20	29	18	18	13	13
chr14_37472384_37472784	11	20	11	28	6	19
chr14_37535358_37535758	14	20	9	15	13	14
chr14_37568224_37568624	15	14	7	18	9	15
chr14_37639315_37639715	16	25	15	27	14	21
chr14_37677809_37678209	10	14	5	21	13	19
chr14_37683698_37684098	19	26	12	29	14	18
chr14_37697954_37698354	18	23	12	20	11	15
chr14_37739723_37740123	14	25	13	19	9	11
chr14_37758020_37758420	15	27	20	38	20	18
chr14_37843864_37844264	7	12	3	15	11	18
chr14_37892900_37893300	14	22	14	21	23	14
chr14_37931940_37932340	14	22	12	20	14	19
chr14_37943012_37943412	14	16	16	23	12	20
chr14_38025409_38025809	21	18	14	30	14	17
chr14_38034941_38035341	17	32	16	32	16	21
chr14_38128961_38129361	25	27	10	32	17	16
chr14_38317117_38317517	8	25	18	13	13	22
chr14_38329475_38329875	21	25	12	19	9	14
chr14_38468703_38469103	15	24	10	17	14	17
chr14_38628052_38628452	8	15	10	9	14	22
chr14_39493485_39493885	10	20	17	22	13	15
chr14_39512833_39513233	16	25	11	30	11	16
chr14_39626131_39626531	8	22	12	17	15	11
chr14_39657743_39658143	17	14	8	17	16	23
chr14_39670779_39671179	9	24	15	13	8	17
chr14_39754356_39754756	7	28	10	27	12	20
chr14_39824323_39824723	22	28	15	28	21	13
chr14_39877703_39878103	15	24	9	34	18	23
chr14_39905044_39905444	8	13	6	15	14	7
chr14_39941071_39941471	9	21	11	21	5	6
chr14_39946962_39947362	18	16	12	18	10	12
chr14_39991948_39992348	11	15	9	26	14	15
chr14_40008224_40008624	13	18	15	26	14	10
chr14_40017442_40017842	9	17	10	26	11	17
chr14_40058124_40058524	9	16	6	29	12	16
chr14_40071974_40072374	22	24	12	18	17	20
chr14_40132840_40133240	13	28	10	21	9	12
chr14_40218186_40218586	17	20	12	18	15	13
chr14_40297593_40297993	10	19	11	21	7	18
chr14_40370072_40370472	11	19	11	21	11	11
chr14_40449655_40450055	19	25	10	20	10	7
chr14_40481321_40481721	16	37	23	32	23	20
chr14_40503173_40503573	20	29	14	27	12	20
chr14_40557608_40558008	14	19	16	22	16	18
chr14_40596265_40596665	24	26	16	24	15	21
chr14_40639392_40639792	18	26	20	28	15	15
chr14_40643019_40643419	14	22	16	33	17	20
chr14_40663763_40664163	22	18	13	26	21	21
chr14_40726930_40727330	16	29	11	32	22	26
chr14_40734271_40734671	13	18	7	19	16	7
chr14_40766260_40766660	14	26	9	27	14	16
chr14_40842362_40842762	18	10	9	18	10	9
chr14_40892698_40893098	22	13	6	23	22	10
chr14_40932048_40932448	14	14	7	23	11	18
chr14_40950249_40950649	11	28	16	27	9	10
chr14_40965948_40966348	15	16	6	21	12	13
chr14_40973271_40973671	12	19	10	24	9	19
chr14_40979714_40980114	9	17	17	22	9	17
chr14_41004227_41004627	19	28	13	37	17	22
chr14_41027772_41028172	22	31	13	28	15	18
chr14_41041168_41041568	16	32	15	29	19	18
chr14_41090948_41091348	11	22	10	26	5	12
chr14_41121361_41121761	17	19	10	29	8	12
chr14_41130501_41130901	11	19	9	32	13	15
chr14_41132525_41132925	12	15	19	25	14	15
chr14_41176966_41177366	11	21	14	16	10	15
chr14_41191985_41192385	13	19	14	20	16	8
chr14_41193959_41194359	18	21	12	17	17	20
chr14_41216992_41217392	24	30	13	27	10	13
chr14_41258943_41259343	16	29	13	24	12	11
chr14_43117328_43117728	12	16	15	17	13	16
chr14_43121688_43122088	9	29	6	27	3	17
chr14_43124039_43124439	15	21	19	35	17	10
chr14_43668929_43669329	14	17	10	15	8	17
chr14_43686909_43687309	13	26	12	21	15	14
chr14_43693427_43693827	15	25	8	19	16	17
chr14_43713332_43713732	25	27	22	33	16	20
chr14_43736181_43736581	18	35	10	26	18	13
chr14_43760905_43761305	12	13	11	22	8	11
chr14_43766457_43766857	11	19	9	27	10	10
chr14_43796622_43797022	24	18	10	18	11	18
chr14_43857189_43857589	14	16	20	24	7	11
chr14_43875292_43875692	13	16	11	20	10	18
chr14_43881179_43881579	12	20	11	28	13	20
chr14_43920160_43920560	9	21	20	12	11	9
chr14_43970857_43971257	14	25	12	25	15	12
chr14_43993045_43993445	15	25	14	24	17	22
chr14_44039600_44040000	15	20	8	23	8	18
chr14_44043701_44044101	20	26	15	24	24	16
chr14_44046658_44047058	14	23	10	14	5	14
chr14_44067379_44067779	15	17	16	21	11	15
chr14_44096664_44097064	13	18	15	29	13	13
chr14_44116442_44116842	15	36	17	33	20	24
chr14_44142592_44142992	13	31	14	24	13	15
chr14_44152181_44152581	10	11	10	17	14	18
chr14_44212829_44213229	16	27	17	20	11	6
chr14_44220210_44220610	11	13	13	14	12	17
chr14_44247719_44248119	18	23	18	20	17	13
chr14_44248870_44249270	11	32	14	33	13	18
chr14_44250193_44250593	12	26	5	19	20	17
chr14_44350105_44350505	15	17	10	25	14	21
chr14_44354051_44354451	19	18	15	21	7	12
chr14_44384045_44384445	11	21	17	18	7	13
chr14_44389551_44389951	12	21	12	14	13	22
chr14_44459887_44460287	20	18	9	27	10	8
chr14_44534974_44535374	21	17	16	23	12	9
chr14_44540345_44540745	8	31	16	21	11	12
chr14_44549372_44549772	9	25	18	16	11	9
chr14_44602464_44602864	24	17	5	33	22	7
chr14_44627553_44627953	7	14	12	26	15	19
chr14_44638574_44638974	15	14	12	20	15	12
chr14_44668907_44669307	20	33	23	39	19	24
chr14_44670638_44671038	11	18	15	18	3	5
chr14_44705967_44706367	16	21	9	24	14	22
chr14_44760265_44760665	14	21	6	22	22	13
chr14_44761948_44762348	18	15	17	26	12	6
chr14_44798462_44798862	13	19	10	21	6	12
chr14_44833186_44833586	20	19	14	22	13	8
chr14_44844022_44844422	25	35	18	23	14	17
chr14_44849594_44849994	7	21	12	21	14	23
chr14_44858761_44859161	15	16	6	28	13	15
chr14_44910128_44910528	11	26	12	14	15	19
chr14_44964843_44965243	12	15	12	18	17	14
chr14_44978279_44978679	15	25	13	21	10	20
chr14_44984297_44984697	13	27	11	14	12	26
chr14_44988851_44989251	13	18	18	21	16	17
chr14_44995204_44995604	16	23	12	20	12	13
chr14_45063548_45063948	15	20	10	22	11	16
chr14_45108969_45109369	18	28	17	23	11	14
chr14_45116676_45117076	18	15	12	16	19	8
chr14_45148559_45148959	10	22	15	21	14	20
chr14_45175227_45175627	10	21	15	24	8	13
chr14_45211991_45212391	13	21	11	25	11	12
chr14_45309947_45310347	18	26	12	26	13	20
chr14_45364803_45365203	22	25	12	24	12	15
chr14_45397707_45398107	17	22	12	15	20	8
chr14_45415203_45415603	13	17	12	17	13	15
chr14_45422049_45422449	27	28	15	29	13	18
chr14_45435317_45435717	9	29	10	26	8	20
chr14_45452097_45452497	20	22	19	15	12	19
chr14_45467622_45468022	7	22	10	25	13	18
chr14_45500049_45500449	15	24	8	21	14	10
chr14_45519276_45519676	20	13	18	13	8	5
chr14_45563467_45563867	19	32	20	20	19	14
chr14_45573571_45573971	17	14	9	22	9	20
chr14_45591963_45592363	13	22	13	14	18	8
chr14_45597707_45598107	13	33	15	21	18	14
chr14_45608321_45608721	18	27	13	18	8	11
chr14_45625647_45626047	14	21	18	18	19	18
chr14_45642006_45642406	12	29	14	26	14	19
chr14_45686640_45687040	10	23	8	22	19	10
chr14_45761124_45761524	22	37	23	39	17	18
chr14_45771522_45771922	12	16	10	23	7	18
chr14_45809270_45809670	16	27	19	20	18	29
chr14_45816564_45816964	18	20	15	33	13	23
chr14_45858582_45858982	9	17	12	27	5	26
chr14_45862547_45862947	8	23	8	17	17	9
chr14_45863557_45863957	12	11	11	28	8	19
chr14_45895319_45895719	14	19	13	21	18	20
chr14_45900889_45901289	19	21	19	21	21	11
chr14_45923907_45924307	11	25	11	21	12	13
chr14_45925228_45925628	19	37	22	34	11	16
chr14_45936708_45937108	20	28	13	20	17	15
chr14_45963984_45964384	13	20	5	22	10	18
chr14_45983936_45984336	12	18	10	22	19	12
chr14_45989344_45989744	20	27	9	21	17	16
chr14_45992286_45992686	13	19	10	30	19	10
chr14_46018484_46018884	15	18	14	9	8	10
chr14_46027524_46027924	15	33	14	32	25	22
chr14_46032756_46033156	15	28	17	25	13	17
chr14_46086667_46087067	14	28	18	36	17	19
chr14_46108936_46109336	12	13	14	29	11	23
chr14_46136917_46137317	13	24	12	16	17	12
chr14_46142608_46143008	16	24	11	24	17	22
chr14_46196310_46196710	15	36	18	25	25	19
chr14_46268210_46268610	6	17	15	21	14	12
chr14_46303602_46304002	11	17	13	20	16	10
chr14_46317512_46317912	19	30	15	29	12	16
chr14_46333360_46333760	20	25	9	23	18	12
chr14_46372505_46372905	20	27	12	20	14	13
chr14_46379972_46380372	11	27	16	26	8	20
chr14_46394001_46394401	13	28	13	34	21	26
chr14_46398265_46398665	26	22	9	26	16	22
chr14_46411908_46412308	11	17	13	23	5	9
chr14_46418357_46418757	22	22	13	21	13	15
chr14_46419472_46419872	13	23	17	21	25	17
chr14_46427724_46428124	11	21	11	24	11	10
chr14_46432191_46432591	23	20	17	23	17	17
chr14_46441289_46441689	19	18	13	19	19	9
chr14_46451440_46451840	13	27	14	21	12	15
chr14_46471564_46471964	13	24	21	24	10	17
chr14_46477672_46478072	7	23	10	20	11	11
chr14_46491601_46492001	20	15	12	22	14	16
chr14_46543441_46543841	8	27	6	17	23	16
chr14_46556432_46556832	19	22	20	28	17	14
chr14_46567510_46567910	14	29	9	20	13	15
chr14_46569405_46569805	12	14	18	17	13	14
chr14_46604791_46605191	15	24	18	24	17	13
chr14_46612427_46612827	14	20	12	34	12	22
chr14_46622357_46622757	19	19	12	23	7	18
chr14_46627474_46627874	13	24	14	23	15	11
chr14_46633880_46634280	11	25	16	31	9	16
chr14_46647545_46647945	15	26	8	25	13	14
chr14_46656188_46656588	20	29	13	25	15	9
chr14_46681585_46681985	18	37	14	27	12	14
chr14_46719097_46719497	20	22	19	34	21	16
chr14_46745747_46746147	15	26	8	21	19	11
chr14_46754543_46754943	16	22	14	32	20	15
chr14_46769250_46769650	22	24	8	15	16	30
chr14_46799320_46799720	15	18	10	21	9	10
chr14_46854855_46855255	24	23	7	23	11	13
chr14_46861347_46861747	13	20	11	11	7	18
chr14_46863914_46864314	8	24	16	25	15	18
chr14_46889262_46889662	18	17	10	24	12	16
chr14_46895510_46895910	22	36	17	22	14	13
chr14_46906555_46906955	14	18	5	21	9	7
chr14_46925258_46925658	17	17	21	25	14	19
chr14_46932140_46932540	15	14	8	22	19	10
chr14_46962680_46963080	16	21	15	26	24	13
chr14_46967938_46968338	17	30	12	25	14	15
chr14_46979547_46979947	12	19	18	23	9	8
chr14_47001240_47001640	21	33	14	29	19	23
chr14_47020865_47021265	15	23	9	15	18	15
chr14_47080568_47080968	14	32	21	27	19	22
chr14_47084838_47085238	26	30	14	31	19	21
chr14_47125252_47125652	28	31	14	28	23	22
chr14_47155354_47155754	18	45	10	38	19	22
chr14_47199678_47200078	13	39	11	26	18	22
chr14_47206748_47207148	24	25	26	23	25	27
chr14_47216465_47216865	17	17	20	25	15	17
chr14_47236283_47236683	19	19	9	30	14	14
chr14_47253272_47253672	19	19	16	19	14	15
chr14_47310595_47310995	14	21	15	26	24	28
chr14_47347315_47347715	12	21	13	27	22	8
chr14_47355184_47355584	15	23	16	19	13	18
chr14_47385763_47386163	13	27	16	32	22	21
chr14_47388098_47388498	25	31	17	31	26	26
chr14_47394198_47394598	24	20	19	30	10	25
chr14_47395323_47395723	20	31	16	30	14	24
chr14_47437537_47437937	9	26	10	15	14	19
chr14_47457227_47457627	14	14	11	36	12	12
chr14_47482146_47482546	8	15	5	15	13	6
chr14_47530507_47530907	10	23	5	22	13	19
chr14_47551308_47551708	17	19	11	26	8	16
chr14_47559372_47559772	7	13	11	19	14	6
chr14_47580359_47580759	9	22	14	13	10	15
chr14_47602807_47603207	18	21	9	21	15	12
chr14_47607603_47608003	17	19	14	18	15	11
chr14_47631406_47631806	17	26	18	29	12	18
chr14_47634756_47635156	21	15	16	29	14	17
chr14_47752776_47753176	16	26	7	28	14	12
chr14_47759214_47759614	11	24	11	19	8	11
chr14_47776860_47777260	18	43	18	44	25	16
chr14_47785856_47786256	22	26	11	38	16	25
chr14_47790178_47790578	21	33	22	32	23	22
chr14_47791150_47791550	12	26	11	21	6	14
chr14_47820446_47820846	20	19	18	27	18	24
chr14_47858315_47858715	18	26	16	27	16	15
chr14_47881234_47881634	6	22	16	21	10	20
chr14_47915472_47915872	15	35	14	30	16	18
chr14_47923548_47923948	15	25	11	11	7	8
chr14_47937056_47937456	17	17	19	26	18	14
chr14_47993300_47993700	20	19	11	25	16	25
chr14_48053270_48053670	11	18	13	18	5	7
chr14_48056032_48056432	23	27	10	35	24	23
chr14_48073379_48073779	20	16	13	9	16	16
chr14_48079403_48079803	15	21	18	17	17	17
chr14_48086926_48087326	24	27	21	28	25	18
chr14_48111707_48112107	15	7	17	24	13	12
chr14_48114768_48115168	14	20	11	17	6	10
chr14_48171642_48172042	25	22	13	28	17	16
chr14_48177542_48177942	16	32	16	24	21	24
chr14_48179428_48179828	13	23	11	32	12	26
chr14_48185600_48186000	19	16	17	27	12	18
chr14_48191479_48191879	19	31	12	35	22	28
chr14_48204947_48205347	17	22	17	37	28	23
chr14_48227528_48227928	12	21	22	20	20	20
chr14_48235306_48235706	29	19	10	37	24	17
chr14_48256157_48256557	28	44	25	33	18	25
chr14_48264551_48264951	28	22	19	20	9	12
chr14_48267029_48267429	12	19	8	23	13	15
chr14_48302613_48303013	13	13	14	23	12	16
chr14_48337777_48338177	20	22	8	20	11	15
chr14_48344593_48344993	23	25	20	19	9	9
chr14_48361800_48362200	14	29	19	27	20	18
chr14_48387518_48387918	17	11	6	22	13	14
chr14_48409216_48409616	12	26	15	18	18	26
chr14_48412617_48413017	19	23	12	21	15	11
chr14_48425338_48425738	16	22	5	27	20	13
chr14_48429381_48429781	19	24	7	25	9	10
chr14_48451933_48452333	8	16	8	28	16	18
chr14_48457666_48458066	7	24	16	27	18	17
chr14_48466084_48466484	12	19	10	18	10	16
chr14_48486333_48486733	22	23	11	22	15	12
chr14_48504094_48504494	21	24	18	26	16	20
chr14_48514640_48515040	13	29	9	25	17	13
chr14_48529339_48529739	17	29	16	24	19	14
chr14_48538487_48538887	19	36	15	31	21	28
chr14_48553895_48554295	9	25	17	31	16	19
chr14_48569077_48569477	13	27	26	28	16	12
chr14_48570568_48570968	12	34	23	33	15	15
chr14_48580081_48580481	23	18	15	36	21	21
chr14_48603486_48603886	9	22	5	17	5	11
chr14_48608880_48609280	11	29	6	23	16	20
chr14_48613560_48613960	14	22	19	24	11	12
chr14_48617548_48617948	9	19	16	25	8	11
chr14_48632325_48632725	13	17	10	26	10	16
chr14_48651797_48652197	16	23	7	23	16	18
chr14_48654948_48655348	13	15	10	31	14	22
chr14_48662376_48662776	12	10	7	21	15	17
chr14_48674440_48674840	15	30	14	24	20	22
chr14_48704134_48704534	14	18	9	17	10	16
chr14_48709397_48709797	9	21	6	17	11	6
chr14_48721373_48721773	17	28	17	23	12	20
chr14_48730685_48731085	10	19	13	15	15	10
chr14_48801335_48801735	17	22	11	29	15	19
chr14_48826437_48826837	14	22	11	24	7	23
chr14_48837215_48837615	7	21	10	18	11	11
chr14_48856968_48857368	28	20	15	22	10	16
chr14_48877896_48878296	9	17	16	25	11	25
chr14_48884794_48885194	21	25	25	25	11	13
chr14_48904950_48905350	28	16	15	21	8	22
chr14_48909383_48909783	10	21	9	16	6	17
chr14_48930914_48931314	13	18	14	25	19	13
chr14_48932089_48932489	14	20	18	16	15	12
chr14_48943696_48944096	15	17	6	12	14	18
chr14_48983692_48984092	16	21	7	18	17	12
chr14_49112169_49112569	19	17	17	27	10	16
chr14_49124255_49124655	9	29	13	22	12	18
chr14_49141978_49142378	20	25	15	23	9	12
chr14_49145968_49146368	21	16	15	25	14	11
chr14_49157498_49157898	11	12	12	22	4	16
chr14_49162350_49162750	12	26	13	20	12	14
chr14_49173205_49173605	16	17	7	21	7	12
chr14_49213063_49213463	14	6	12	13	14	7
chr14_49235230_49235630	15	23	19	22	18	12
chr14_49265337_49265737	19	23	6	16	19	21
chr14_49313889_49314289	10	15	15	31	13	14
chr14_49330085_49330485	16	14	14	18	13	16
chr14_49591618_49592018	9	19	11	19	7	12
chr14_49614473_49614873	10	17	15	34	11	10
chr14_49704699_49705099	18	21	13	18	7	15
chr14_49808119_49808519	16	27	17	28	16	24
chr14_49811575_49811975	13	14	6	21	9	9
chr14_49815002_49815402	5	11	7	13	16	20
chr14_49829183_49829583	14	16	15	17	10	11
chr14_49846044_49846444	8	27	8	26	11	13
chr14_49855655_49856055	11	24	17	26	16	20
chr14_49908181_49908581	17	15	16	25	10	12
chr14_49943922_49944322	15	19	14	24	6	13
chr14_49951303_49951703	8	16	15	22	9	16
chr14_49953957_49954357	25	26	19	29	9	10
chr14_49984984_49985384	10	23	13	28	9	21
chr14_49989024_49989424	14	20	13	19	9	11
chr14_50001178_50001578	15	22	20	12	9	8
chr14_50018556_50018956	18	31	13	26	15	23
chr14_50029413_50029813	10	28	14	18	14	23
chr14_50061448_50061848	20	20	10	21	5	12
chr14_50076977_50077377	14	16	13	29	12	16
chr14_50168230_50168630	11	29	10	10	19	12
chr14_50193375_50193775	11	17	16	22	9	11
chr14_50200271_50200671	24	38	22	40	18	21
chr14_50206907_50207307	13	31	17	34	20	28
chr14_50208505_50208905	20	13	17	16	14	16
chr14_50256284_50256684	20	21	12	17	20	13
chr14_50308135_50308535	23	26	17	38	11	12
